Total secondary entries: 56320	
Used secondary entries: 36077	
IDX	LPA	PPA	STATE
883	905177	1011954	1	
884	905178	1011955	1	
885	725258	1059716	1	
886	-1	-1	0	
887	725302	1059718	1	
888	559453	1059719	1	
889	-1	-1	0	
890	559509	1059721	1	
891	618136	1059722	1	
892	618223	1059723	1	
893	618233	1059724	1	
894	-1	-1	0	
895	632143	1059726	1	
896	-1	-1	0	
897	-1	-1	0	
898	-1	-1	0	
899	617530	1059730	1	
900	-1	-1	0	
901	595788	1059732	1	
902	595862	1059733	1	
903	831206	1059734	1	
904	831222	1059735	1	
905	831230	1059736	1	
906	831243	1059737	1	
907	831249	1059738	1	
908	831261	1059739	1	
909	831313	1059740	1	
910	831329	1059741	1	
911	831362	1059742	1	
912	831373	1059743	1	
913	-1	-1	0	
914	831391	1059745	1	
915	831400	1059746	1	
916	-1	-1	0	
917	831403	1059748	1	
918	831418	1059749	1	
919	831419	1059750	1	
920	831421	1059751	1	
921	-1	-1	0	
922	831450	1059753	1	
923	831456	1059754	1	
924	831461	1059755	1	
925	831462	1059756	1	
926	831471	1059757	1	
927	831519	1059758	1	
928	831533	1059759	1	
929	847549	871108	1	
930	847550	871109	1	
931	831540	1059760	1	
932	-1	-1	0	
933	831549	1059762	1	
934	831564	1059763	1	
935	847568	871114	1	
936	831565	1059764	1	
937	831579	1059765	1	
938	831586	1059766	1	
939	831603	1059767	1	
940	831606	1059768	1	
941	831616	1059769	1	
942	831628	1059770	1	
943	831640	1059771	1	
944	-1	-1	0	
945	831669	1059773	1	
946	831687	1059774	1	
947	831707	1059775	1	
948	831734	1059776	1	
949	-1	-1	0	
950	866118	1059778	1	
951	866126	1059779	1	
952	866139	1059780	1	
953	866179	1059781	1	
954	866187	1059782	1	
955	866200	1059783	1	
956	866205	1059784	1	
957	866224	1059785	1	
958	866240	1059786	1	
959	866241	1059787	1	
960	866250	1059788	1	
961	-1	-1	0	
962	866266	1059790	1	
963	866281	1059791	1	
964	866284	1059792	1	
965	866299	1059793	1	
966	866311	1059794	1	
967	-1	-1	0	
968	866338	1059796	1	
969	866339	1059797	1	
970	866350	1059798	1	
971	866360	1059799	1	
972	866372	1059800	1	
973	866374	1059801	1	
974	866376	1059802	1	
975	866392	1059803	1	
976	866400	1059804	1	
977	866449	1059805	1	
978	866478	1059806	1	
979	866492	1059807	1	
980	866514	1059808	1	
981	866560	1059809	1	
982	866566	1059810	1	
983	-1	-1	0	
984	866583	1059812	1	
985	866604	1059813	1	
986	866607	1059814	1	
987	866629	1059815	1	
988	866648	1059816	1	
989	-1	-1	0	
990	802669	1059818	1	
991	802670	1059819	1	
992	802708	1059820	1	
993	802736	1059821	1	
994	802748	1059822	1	
995	803001	1059823	1	
996	803062	1059824	1	
997	803101	1059825	1	
998	803123	1059826	1	
999	803130	1059827	1	
1000	-1	-1	0	
1001	803168	1059829	1	
1002	789933	1059830	1	
1003	-1	-1	0	
1004	789989	1059832	1	
1005	789996	1059833	1	
1006	790028	1059834	1	
1007	790044	1059835	1	
1008	790085	1059836	1	
1009	859438	1059837	1	
1010	859449	1059838	1	
1011	859495	1059839	1	
1012	859509	1059840	1	
1013	859511	1059841	1	
1014	859515	1059842	1	
1015	859532	1059843	1	
1016	859540	1059844	1	
1017	859567	1059845	1	
1018	859577	1059846	1	
1019	-1	-1	0	
1020	859594	1059848	1	
1021	859603	1059849	1	
1022	-1	-1	0	
1023	948176	1059851	1	
1024	948177	1059852	1	
1025	948180	1059853	1	
1026	948185	1059854	1	
1027	948191	1059855	1	
1028	948197	1059856	1	
1029	948202	1059857	1	
1030	948218	1059858	1	
1031	948229	1059859	1	
1032	948233	1059860	1	
1033	948237	1059861	1	
1034	948241	1059862	1	
1035	948243	1059863	1	
1036	948249	1059864	1	
1037	948340	1059865	1	
1038	948343	1059866	1	
1039	948347	1059867	1	
1040	-1	-1	0	
1041	948356	1059869	1	
1042	948377	1059870	1	
1043	948388	1059871	1	
1044	948403	1059872	1	
1045	948421	1059873	1	
1046	948433	1059874	1	
1047	948436	1059875	1	
1048	948445	1059876	1	
1049	948446	1059877	1	
1050	948458	1059878	1	
1051	948459	1059879	1	
1052	948468	1059880	1	
1053	948487	1059881	1	
1054	948490	1059882	1	
1055	948492	1059883	1	
1056	1002420	1059885	1	
1057	1002427	1059886	1	
1058	1002429	1059887	1	
1059	1002430	1059888	1	
1060	1002432	1059889	1	
1061	1002440	1059890	1	
1062	1002448	1059891	1	
1063	1002454	1059892	1	
1064	1002465	1059893	1	
1065	1002472	1059894	1	
1066	1002478	1059895	1	
1067	1002480	1059896	1	
1068	1002488	1059897	1	
1069	1002494	1059898	1	
1070	1002499	1059899	1	
1071	1002500	1059900	1	
1072	1002509	1059901	1	
1073	1002516	1059902	1	
1074	1002517	1059903	1	
1075	-1	-1	0	
1076	1002521	1059905	1	
1077	1002526	1059906	1	
1078	1002528	1059907	1	
1079	1002533	1059908	1	
1080	1002540	1059909	1	
1081	1002547	1059910	1	
1082	1002552	1059911	1	
1083	1002555	1059912	1	
1084	1002556	1059913	1	
1085	1002562	1059914	1	
1086	-1	-1	0	
1087	1002564	1059916	1	
1088	-1	-1	0	
1089	1002572	1059918	1	
1090	-1	-1	0	
1091	1002574	1059920	1	
1092	1002578	1059921	1	
1093	-1	-1	0	
1094	1002591	1059923	1	
1095	1002592	1059924	1	
1096	1002601	1059925	1	
1097	1002603	1059926	1	
1098	1002605	1059927	1	
1099	1002606	1059928	1	
1100	1002613	1059929	1	
1101	1002614	1059930	1	
1102	1002615	1059931	1	
1103	1002617	1059932	1	
1104	1002620	1059933	1	
1105	1002623	1059934	1	
1106	1002625	1059935	1	
1107	-1	-1	0	
1108	1002629	1059937	1	
1109	773460	1012175	1	
1110	-1	-1	0	
1111	1002640	1059939	1	
1112	-1	-1	0	
1113	820789	1012179	1	
1114	820793	1012180	1	
1115	820863	1012181	1	
1116	820874	1012182	1	
1117	1002644	1059940	1	
1118	1002645	1059941	1	
1119	1002647	1059942	1	
1120	1002649	1059943	1	
1121	1002650	1059944	1	
1122	1002664	1059945	1	
1123	904088	965331	1	
1124	904099	965332	1	
1125	904103	965333	1	
1126	904105	965334	1	
1127	904110	965335	1	
1128	904114	965336	1	
1129	904131	965337	1	
1130	904142	965338	1	
1131	1002665	1059946	1	
1132	1002667	1059947	1	
1133	-1	-1	0	
1134	-1	-1	0	
1135	1002674	1059950	1	
1136	1002676	1059951	1	
1137	1002679	1059952	1	
1138	215314	406582	1	
1139	1002681	1059953	1	
1140	-1	-1	0	
1141	1002691	1059955	1	
1142	1002696	1059956	1	
1143	1002698	1059957	1	
1144	-1	-1	0	
1145	1002710	1059959	1	
1146	1002712	1059960	1	
1147	1002718	1059961	1	
1148	-1	-1	0	
1149	1002727	1059963	1	
1150	1002730	1059964	1	
1151	1002736	1059965	1	
1152	1002742	1059966	1	
1153	-1	-1	0	
1154	1002760	1059968	1	
1155	1002772	1059969	1	
1156	1002774	1059970	1	
1157	1002779	1059971	1	
1158	-1	-1	0	
1159	1002788	1059973	1	
1160	1002789	1059974	1	
1161	1002791	1059975	1	
1162	-1	-1	0	
1163	1002794	1059977	1	
1164	1002799	1059978	1	
1165	1002815	1059979	1	
1166	1002816	1059980	1	
1167	1002820	1059981	1	
1168	1002823	1059982	1	
1169	1002831	1059983	1	
1170	1002837	1059984	1	
